,timestamps,PLETH,SPO2
42229,2022-10-03 03:46:39.290,26123,97
42230,2022-10-03 03:46:39.300,25310,97
42231,2022-10-03 03:46:39.310,24395,97
42232,2022-10-03 03:46:39.320,23378,97
42233,2022-10-03 03:46:39.330,22281,97
42234,2022-10-03 03:46:39.340,21109,97
42235,2022-10-03 03:46:39.350,19886,97
42236,2022-10-03 03:46:39.360,18628,97
42237,2022-10-03 03:46:39.370,17351,97
42238,2022-10-03 03:46:39.380,16085,97
42239,2022-10-03 03:46:39.390,14829,97
42240,2022-10-03 03:46:39.400,13607,97
42241,2022-10-03 03:46:39.410,12440,97
42242,2022-10-03 03:46:39.420,11346,97
42243,2022-10-03 03:46:39.430,10382,97
42244,2022-10-03 03:46:39.440,9626,97
42245,2022-10-03 03:46:39.450,9212,97
42246,2022-10-03 03:46:39.460,9276,97
42247,2022-10-03 03:46:39.470,9979,97
42248,2022-10-03 03:46:39.480,11429,97
42249,2022-10-03 03:46:39.490,13694,97
42250,2022-10-03 03:46:39.500,16786,97
42251,2022-10-03 03:46:39.510,20630,97
42252,2022-10-03 03:46:39.520,25101,97
42253,2022-10-03 03:46:39.530,30041,97
42254,2022-10-03 03:46:39.540,35249,97
42255,2022-10-03 03:46:39.550,40518,97
42256,2022-10-03 03:46:39.560,45641,97
42257,2022-10-03 03:46:39.570,50417,97
42258,2022-10-03 03:46:39.580,54683,97
42259,2022-10-03 03:46:39.590,58310,97
42260,2022-10-03 03:46:39.600,61210,97
42261,2022-10-03 03:46:39.610,62258,97
42262,2022-10-03 03:46:39.620,62258,97
42263,2022-10-03 03:46:39.630,62258,97
42264,2022-10-03 03:46:39.640,62103,97
42265,2022-10-03 03:46:39.650,61366,97
42266,2022-10-03 03:46:39.660,60099,97
42267,2022-10-03 03:46:39.670,58395,97
42268,2022-10-03 03:46:39.680,56337,97
42269,2022-10-03 03:46:39.690,54018,97
42270,2022-10-03 03:46:39.700,51533,97
42271,2022-10-03 03:46:39.710,48975,97
42272,2022-10-03 03:46:39.720,46416,97
42273,2022-10-03 03:46:39.730,43941,97
42274,2022-10-03 03:46:39.740,41607,97
42275,2022-10-03 03:46:39.750,39455,97
42276,2022-10-03 03:46:39.760,37521,97
42277,2022-10-03 03:46:39.770,35812,97
42278,2022-10-03 03:46:39.780,34337,97
42279,2022-10-03 03:46:39.790,33082,97
42280,2022-10-03 03:46:39.800,32021,97
42281,2022-10-03 03:46:39.810,31125,97
42282,2022-10-03 03:46:39.820,30358,97
42283,2022-10-03 03:46:39.830,29683,97
42284,2022-10-03 03:46:39.840,29053,97
42285,2022-10-03 03:46:39.850,28432,97
42286,2022-10-03 03:46:39.860,27788,97
42287,2022-10-03 03:46:39.870,27094,97
42288,2022-10-03 03:46:39.880,26334,97
42289,2022-10-03 03:46:39.890,25487,97
42290,2022-10-03 03:46:39.900,24558,97
42291,2022-10-03 03:46:39.910,23541,97
42292,2022-10-03 03:46:39.920,22447,97
42293,2022-10-03 03:46:39.930,21281,97
42294,2022-10-03 03:46:39.940,20066,97
42295,2022-10-03 03:46:39.950,18816,97
42296,2022-10-03 03:46:39.960,17544,97
42297,2022-10-03 03:46:39.970,16265,97
42298,2022-10-03 03:46:39.980,15007,97
42299,2022-10-03 03:46:39.990,13781,97
42300,2022-10-03 03:46:40.000,12597,97
42301,2022-10-03 03:46:40.010,11474,97
42302,2022-10-03 03:46:40.020,10442,97
42303,2022-10-03 03:46:40.030,9557,97
42304,2022-10-03 03:46:40.040,8916,97
42305,2022-10-03 03:46:40.050,8647,97
42306,2022-10-03 03:46:40.060,8898,97
42307,2022-10-03 03:46:40.070,9819,97
